;;;;;;;;;;;;x,,,,,,,,,,,,,;;;;;;;;;
return_cores_ARM_title;Вернуть провинции Armenia;;;;;;;;;;;;;;;;;;;;x,,
return_cores_ARM_desc;Мы владеем провинциями, на которые  Armenia имеет претензии. Возвращение этих провинций в качестве акта доброй воли, безусловно, укрепит наши отношения.;;;;;;;;;;;;x;;;;;;;;
return_cores_AZB_title;Вернуть провинции Azerbaijan;;;;;;;;;;;;;;;;;;;;x,,
return_cores_AZB_desc;Мы владеем провинциями, на которые  Azerbaijan имеет претензии. Возвращение этих провинций в качестве акта доброй воли, безусловно, укрепит наши отношения.;;;;;;;;;;;;x;;;;;;;;
return_cores_BUK_title;Вернуть провинции Bukkhara;;;;;;;;;;;;;;;;;;;;x,,
return_cores_BUK_desc;Мы владеем провинциями, на которые  Bukkhara имеет претензии. Возвращение этих провинций в качестве акта доброй воли, безусловно, укрепит наши отношения.;;;;;;;;;;;;x;;;;;;;;
return_cores_GEO_title;Вернуть провинции Georgia;;;;;;;;;;;;;;;;;;;;x,,
return_cores_GEO_desc;Мы владеем провинциями, на которые  Georgia имеет претензии. Возвращение этих провинций в качестве акта доброй воли, безусловно, укрепит наши отношения.;;;;;;;;;;;;x;;;;;;;;
return_cores_HDJ_title;Вернуть провинции Hedjaz;;;;;;;;;;;;;;;;;;;;x,,
return_cores_HDJ_desc;Мы владеем провинциями, на которые  Hedjaz имеет претензии. Возвращение этих провинций в качестве акта доброй воли, безусловно, укрепит наши отношения.;;;;;;;;;;;;x;;;;;;;;
return_cores_IRQ_title;Вернуть провинции Iraq;;;;;;;;;;;;;;;;;;;;x,,
return_cores_IRQ_desc;Мы владеем провинциями, на которые  Iraq имеет претензии. Возвращение этих провинций в качестве акта доброй воли, безусловно, укрепит наши отношения.;;;;;;;;;;;;x;;;;;;;;
return_cores_KHI_title;Вернуть провинции Khiva;;;;;;;;;;;;;;;;;;;;x,,
return_cores_KHI_desc;Мы владеем провинциями, на которые  Khiva имеет претензии. Возвращение этих провинций в качестве акта доброй воли, безусловно, укрепит наши отношения.;;;;;;;;;;;;x;;;;;;;;
return_cores_KOK_title;Вернуть провинции Kokand;;;;;;;;;;;;;;;;;;;;x,,
return_cores_KOK_desc;Мы владеем провинциями, на которые  Kokand имеет претензии. Возвращение этих провинций в качестве акта доброй воли, безусловно, укрепит наши отношения.;;;;;;;;;;;;x;;;;;;;;
return_cores_MUG_title;Вернуть провинции Mughalistan;;;;;;;;;;;;;;;;;;;;x,,
return_cores_MUG_desc;Мы владеем провинциями, на которые  Mughalistan имеет претензии. Возвращение этих провинций в качестве акта доброй воли, безусловно, укрепит наши отношения.;;;;;;;;;;;;x;;;;;;;;
return_cores_NEJ_title;Вернуть провинции Nejd;;;;;;;;;;;;;;;;;;;;x,,
return_cores_NEJ_desc;Мы владеем провинциями, на которые  Nejd имеет претензии. Возвращение этих провинций в качестве акта доброй воли, безусловно, укрепит наши отношения.;;;;;;;;;;;;x;;;;;;;;
return_cores_OMA_title;Вернуть провинции Oman;;;;;;;;;;;;;;;;;;;;x,,
return_cores_OMA_desc;Мы владеем провинциями, на которые  Oman имеет претензии. Возвращение этих провинций в качестве акта доброй воли, безусловно, укрепит наши отношения.;;;;;;;;;;;;x;;;;;;;;
return_cores_PER_title;Вернуть провинции Persia;;;;;;;;;;;;;;;;;;;;x,,
return_cores_PER_desc;Мы владеем провинциями, на которые  Persia имеет претензии. Возвращение этих провинций в качестве акта доброй воли, безусловно, укрепит наши отношения.;;;;;;;;;;;;x;;;;;;;;
return_cores_YEM_title;Вернуть провинции Yemen;;;;;;;;;;;;;;;;;;;;x,,
return_cores_YEM_desc;Мы владеем провинциями, на которые  Yemen имеет претензии. Возвращение этих провинций в качестве акта доброй воли, безусловно, укрепит наши отношения.;;;;;;;;;;;;x;;;;;;;;
return_cores_HND_title;Вернуть провинции India;;;;;;;;;;;;;;;;;;;;x,,
return_cores_HND_desc;Мы владеем провинциями, на которые  India имеет претензии. Возвращение этих провинций в качестве акта доброй воли, безусловно, укрепит наши отношения.;;;;;;;;;;;;x;;;;;;;;
return_cores_AWA_title;Вернуть провинции Awadh;;;;;;;;;;;;;;;;;;;;x,,
return_cores_AWA_desc;Мы владеем провинциями, на которые  Awadh имеет претензии. Возвращение этих провинций в качестве акта доброй воли, безусловно, укрепит наши отношения.;;;;;;;;;;;;x;;;;;;;;
return_cores_BAS_title;Вернуть провинции Bastar;;;;;;;;;;;;;;;;;;;;x,,
return_cores_BAS_desc;Мы владеем провинциями, на которые  Bastar имеет претензии. Возвращение этих провинций в качестве акта доброй воли, безусловно, укрепит наши отношения.;;;;;;;;;;;;x;;;;;;;;
